imdbid,title,production_company
23753.0,Alice in Wonderland,Paramount
24727.0,The Vampire Bat,Larry Darmour Productions
24727.0,The Vampire Bat,Majestic Pictures
24034.0,42nd Street,Warner Bros. Pictures
24069.0,Gold Diggers of 1933,Warner Bros. Pictures
24008.0,Female,First National Pictures
24625.0,A Study in Scarlet,Fox Film Corporation
24625.0,A Study in Scarlet,K.B.S. Productions Inc.
24625.0,A Study in Scarlet,Sono Art-World Wide Pictures
23775.0,Baby Face,Warner Bros. Pictures
23876.0,Cavalcade,Fox Film Corporation
25316.0,It Happened One Night,Columbia Pictures
25746.0,The Scarlet Empress,Paramount
25465.0,Maniac,Road Show Attractions
24831.0,Anne of Green Gables,RKO Radio Pictures
25091.0,Evelyn Prentice,Metro-Goldwyn-Mayer
25452.0,The Man Who Knew Too Much,Gaumont-British Picture Corporation
25301.0,Imitation of Life,Universal Pictures
26029.0,The 39 Steps,Gaumont-British Picture Corporation
26768.0,Naughty Marietta,Metro-Goldwyn-Mayer
26942.0,Roberta,RKO Radio Pictures
26667.0,Magnificent Obsession,Universal Pictures
26138.0,The Bride of Frankenstein,Universal Pictures
28096.0,The Petrified Forest,Warner Bros. Pictures
27996.0,Mr. Deeds Goes to Town,Columbia Pictures
27387.0,Born to Dance,Metro-Goldwyn-Mayer
28021.0,Osaka Elegy,Daiichi Eiga
28355.0,Theodora Goes Wild,Columbia Pictures
27698.0,The Great Ziegfeld,Metro-Goldwyn-Mayer
27752.0,The Only Son,Shochiku
28683.0,Camille,Metro-Goldwyn-Mayer
28092.0,Pennies from Heaven,Columbia Pictures
28203.0,Romeo and Juliet,Metro-Goldwyn-Mayer
27407.0,Bullets or Ballots,Warner Bros. Pictures
28212.0,Sabotage,Gaumont-British Picture Corporation
28231.0,Secret Agent,Gaumont-British Picture Corporation
27545.0,Dracula's Daughter,Universal Pictures
29604.0,Stage Door,RKO Radio Pictures
29608.0,Stella Dallas,Samuel Goldwyn Productions
29608.0,Stella Dallas,United Artists
29583.0,Snow White and the Seven Dwarfs,Walt Disney Productions
29192.0,Make Way for Tomorrow,Paramount
28597.0,The Awful Truth,Columbia Pictures
29811.0,Young and Innocent,Gaumont-British Picture Corporation
29217.0,Marked Woman,First National Pictures
27552.0,Drôle de Drame,Productions Corniglion-Molinier
30341.0,The Lady Vanishes,Gainsborough Pictures
30241.0,Holiday,Columbia Pictures
29947.0,Bringing Up Baby,RKO Radio Pictures
30149.0,Four Daughters,Warner Bros. Pictures
30396.0,The Mad Miss Manton,RKO Radio Pictures
32143.0,The Women,Metro-Goldwyn-Mayer
31971.0,Stagecoach,Walter Wanger Productions
31971.0,Stagecoach,United Artists
31725.0,Ninotchka,Metro-Goldwyn-Mayer
31210.0,Dark Victory,Warner Bros. Pictures
31387.0,The Gorilla,20th Century Fox
31885.0,The Rules of the Game,La Nouvelle Edition Francaise
31066.0,Babes in Arms,Metro-Goldwyn-Mayer
31225.0,Destry Rides Again,Universal Pictures
31709.0,Nancy Drew... Reporter,Warner Bros. Pictures
31022.0,The Adventures of Sherlock Holmes,20th Century Fox
